City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,robbah,33.2797,6.9098,82.4,27,3,4.31,DZ,2024-06-07
108,halifax,44.6453,-63.5724,55.4,95,77,4.02,CA,2024-06-07
109,okhotsk,59.3833,143.3,42.8,76,100,2.4,RU,2024-06-07
110,haiku-pauwela,20.9219,-156.3051,78.8,73,20,6.69,US,2024-06-07
111,colonia,50.9333,6.95,50.0,84,0,1.03,DE,2024-06-07
112,egilsstadir,65.2653,-14.3948,33.8,93,100,2.06,IS,2024-06-07
113,saint-valery-en-caux,49.8667,0.7333,51.8,88,13,3.66,FR,2024-06-07
114,arraial do cabo,-22.9661,-42.0278,71.6,85,93,6.87,BR,2024-06-07
115,callao,-12.0667,-77.15,62.6,82,100,4.63,PE,2024-06-07
116,lihue,21.9789,-159.3672,80.6,70,100,5.14,US,2024-06-07
117,whitefish,48.4111,-114.3376,73.4,33,0,3.09,US,2024-06-07
118,tukrah,32.5341,20.5791,69.8,95,18,1.29,LY,2024-06-07
119,tambopata,-12.7333,-69.1833,71.6,68,7,0.53,PE,2024-06-07
120,vadso,70.0744,29.7487,44.6,87,20,7.2,NO,2024-06-07
121,wanxian,30.8039,108.3897,86.0,54,100,0.92,CN,2024-06-07
122,macas,-2.3167,-78.1167,66.2,94,97,0.93,EC,2024-06-07
123,mejit,10.2753,170.8646,82.4,84,99,8.01,MH,2024-06-07
124,rehoboth,-23.3167,17.0833,37.4,78,0,2.38,NA,2024-06-07
125,saint-pierre,-21.3393,55.4781,68.0,73,20,4.63,RE,2024-06-07
126,stephenville,32.2207,-98.2023,78.8,64,0,2.06,US,2024-06-07
127,mega,4.05,38.3,57.2,92,74,4.32,ET,2024-06-07
128,bredasdorp,-34.5322,20.0403,53.6,87,100,2.38,ZA,2024-06-07
129,nyurba,63.2842,118.3319,62.6,53,99,3.07,RU,2024-06-07
130,iskateley,67.6803,53.1512,35.6,98,100,4.02,RU,2024-06-07
131,keflavik,64.0049,-22.5624,41.0,81,75,9.77,IS,2024-06-07
132,bardai,11.65,7.2333,77.0,71,97,3.72,NG,2024-06-07
133,yeosu,34.7546,127.6599,69.8,74,100,3.31,KR,2024-06-07
134,avarua,-21.2078,-159.775,73.4,56,9,3.09,CK,2024-06-07
135,jiayuguan,39.8167,98.3,75.2,22,100,4.04,CN,2024-06-07
136,cotonou,6.3654,2.4183,78.8,89,40,1.03,BJ,2024-06-07
137,chos malal,-37.3781,-70.2709,50.0,80,100,2.2,AR,2024-06-07
138,margaret river,-33.95,115.0667,62.6,45,41,1.66,AU,2024-06-07
139,makurazaki,31.2667,130.3167,73.4,63,58,5.42,JP,2024-06-07
140,vilyuchinsk,52.9306,158.4028,66.2,46,82,1.21,RU,2024-06-07
141,tralee,52.2704,-9.7026,46.4,94,40,1.62,IE,2024-06-07
142,saint-francois,46.4154,3.9054,57.2,100,83,1.54,FR,2024-06-07
143,topolobampo,25.6,-109.05,84.2,51,20,4.63,MX,2024-06-07
144,phang nga,8.4509,98.5298,89.6,57,92,1.57,TH,2024-06-07
145,nasir,15.5894,32.5634,93.2,27,3,4.94,SD,2024-06-07
146,homer,59.6425,-151.5483,53.6,57,40,3.6,US,2024-06-07
147,villa angela,-27.5738,-60.7153,66.2,75,0,3.04,AR,2024-06-07
148,wailua homesteads,22.0669,-159.378,78.8,76,100,5.14,US,2024-06-07
149,hamilton,39.1834,-84.5333,68.0,60,20,2.06,US,2024-06-07
150,sorong,-0.8833,131.25,84.2,71,39,2.28,ID,2024-06-07
151,menaka,15.9182,2.4022,91.4,44,38,7.47,ML,2024-06-07
152,chipinge,-20.1883,32.6236,62.6,42,0,2.26,ZW,2024-06-07
153,ilulissat,69.2167,-51.1,33.8,93,100,6.17,GL,2024-06-07
154,malango,-2.9627,119.9001,78.8,70,88,1.67,ID,2024-06-07
155,puerto aysen,-45.4,-72.7,44.6,99,100,0.92,CL,2024-06-07
156,port lincoln,-34.7333,135.8667,59.0,62,4,1.2,AU,2024-06-07
157,monteros,-27.1674,-65.4983,60.8,67,0,1.0,AR,2024-06-07
158,enewetak,11.3474,162.3373,82.4,82,73,7.58,MH,2024-06-07
159,beira,-19.8436,34.8389,68.0,81,0,3.17,MZ,2024-06-07
160,lebu,-37.6167,-73.65,55.4,95,100,3.71,CL,2024-06-07
161,santa helena de goias,-17.8136,-50.5969,66.2,53,0,1.11,BR,2024-06-07
162,carnarvon,-24.8667,113.6333,73.4,61,0,3.8,AU,2024-06-07
163,tchintabaraden,15.8969,5.7985,86.0,54,65,6.92,NE,2024-06-07
164,masuguru,-11.3667,38.4167,66.2,97,100,0.82,TZ,2024-06-07
165,cannonvale,-20.2833,148.7,69.8,43,0,3.41,AU,2024-06-07
166,turkmenbasy,40.0222,52.9552,69.8,30,0,2.06,TM,2024-06-07
167,tsiombe,-25.3,45.4833,66.2,77,0,1.3,MG,2024-06-07
168,labrador city,52.9463,-66.9114,64.4,52,20,2.57,CA,2024-06-07
169,xiuyan,40.2928,123.2744,71.6,53,100,5.05,CN,2024-06-07
170,penha,-26.7694,-48.6458,64.4,100,0,2.57,BR,2024-06-07
171,phan thiet,10.9333,108.1,89.6,62,100,4.44,VN,2024-06-07
172,waingapu,-9.6567,120.2641,84.2,68,44,7.15,ID,2024-06-07
173,paicandu,-23.4575,-52.0486,71.6,60,0,4.63,BR,2024-06-07
174,iqaluit,63.7506,-68.5145,32.0,93,75,1.54,CA,2024-06-07
175,korla,41.7597,86.1469,80.6,18,99,1.56,CN,2024-06-07
176,ghat,24.9647,10.1728,86.0,26,18,2.87,LY,2024-06-07
177,lucapa,-8.4192,20.7447,68.0,47,85,0.98,AO,2024-06-07
178,natchitoches,31.7668,-93.1335,75.2,100,0,0.0,US,2024-06-07
179,qaqortoq,60.7167,-46.0333,39.2,97,100,4.81,GL,2024-06-07
180,maba,24.6841,113.5984,75.2,83,100,0.25,CN,2024-06-07
181,whitehorse,60.7161,-135.0538,57.2,32,20,7.72,CA,2024-06-07
182,la'ie,21.6477,-157.9253,80.6,79,93,1.79,US,2024-06-07
183,faya-largeau,17.9257,19.1043,93.2,13,23,5.25,TD,2024-06-07
184,vorgashor,67.5833,63.95,28.4,95,78,1.21,RU,2024-06-07
185,fale old settlement,-9.3852,-171.2468,84.2,76,69,5.7,TK,2024-06-07
186,aykhal,66.0,111.5,51.8,48,100,3.53,RU,2024-06-07
187,sandnessjoen,66.0217,12.6316,46.4,77,100,3.92,NO,2024-06-07
188,persembe,41.0656,37.7714,64.4,76,8,2.72,TR,2024-06-07
189,sychevka,55.8252,34.2736,59.0,92,100,5.01,RU,2024-06-07
190,ustka,54.5805,16.8619,50.0,88,21,1.74,PL,2024-06-07
191,maumere,-8.6199,122.2111,82.4,73,63,2.31,ID,2024-06-07
192,jamestown,42.097,-79.2353,62.6,67,20,2.57,US,2024-06-07
193,saint-philippe,-21.3585,55.7679,68.0,80,50,5.19,RE,2024-06-07
194,the pas,53.8251,-101.2541,53.6,66,75,6.69,CA,2024-06-07
195,chonchi,-42.6128,-73.8092,53.6,92,79,2.22,CL,2024-06-07
196,al qusayr,34.5091,36.5798,82.4,25,0,1.91,SY,2024-06-07
197,takoradi,4.8845,-1.7554,77.0,89,100,3.27,GH,2024-06-07
198,arinos,-15.9169,-46.1056,66.2,72,31,0.68,BR,2024-06-07
199,fukuecho,32.6881,128.8419,75.2,60,75,3.09,JP,2024-06-07
200,hawaiian paradise park,19.5933,-154.9731,78.8,76,100,3.6,US,2024-06-07
201,traralgon,-38.1833,146.5333,60.8,64,77,2.72,AU,2024-06-07
202,stanley,54.868,-1.6985,42.8,86,0,1.54,GB,2024-06-07
203,marand,38.4329,45.7749,69.8,35,0,1.21,IR,2024-06-07
204,sunnyside,46.3237,-120.0087,86.0,21,0,3.09,US,2024-06-07
205,sohbatpur,28.5202,68.5434,95.0,29,100,4.34,PK,2024-06-07
206,new norfolk,-42.7826,147.0587,53.6,66,53,0.79,AU,2024-06-07
207,port alfred,-33.5906,26.891,59.0,89,100,10.84,ZA,2024-06-07
208,punta arenas,-53.15,-70.9167,35.6,93,75,1.54,CL,2024-06-07
209,akureyri,65.6835,-18.0878,39.2,87,75,10.29,IS,2024-06-07
210,port macquarie,-31.4333,152.9167,64.4,59,6,1.85,AU,2024-06-07
211,vila franca do campo,37.7167,-25.4333,64.4,99,94,2.88,PT,2024-06-07
212,san patricio,28.017,-97.5169,84.2,73,53,2.6,US,2024-06-07
213,dzuunharaa,48.8523,106.4579,62.6,47,82,2.66,MN,2024-06-07
214,sao vicente,-23.9631,-46.3919,66.2,26,5,1.46,BR,2024-06-07
215,prievidza,48.7745,18.6275,59.0,95,100,1.1,SK,2024-06-07
216,alofi,-19.0595,-169.9187,77.0,65,75,7.2,NU,2024-06-07
217,anadyr,64.75,177.4833,33.8,80,75,8.0,RU,2024-06-07
218,narrabri,-30.3167,149.7833,51.8,89,93,3.36,AU,2024-06-07
219,flying fish cove,-10.4217,105.6791,82.4,78,75,5.66,CX,2024-06-07
220,st. john's,47.5649,-52.7093,48.2,95,100,2.06,CA,2024-06-07
221,tura,25.5198,90.2201,84.2,81,0,1.39,IN,2024-06-07
222,nova sintra,14.8667,-24.7167,75.2,76,3,1.98,CV,2024-06-07
223,nishinoomote,30.7333,131.0,73.4,83,75,4.12,JP,2024-06-07
224,dudinka,69.4058,86.1778,30.2,96,100,8.05,RU,2024-06-07
225,east end,34.5507,-92.341,77.0,87,0,1.31,US,2024-06-07
226,balqash,46.8481,74.995,77.0,38,40,2.0,KZ,2024-06-07
227,ginir,7.1333,40.7,57.2,90,7,2.03,ET,2024-06-07
228,heihe,50.2441,127.4902,71.6,54,88,7.62,CN,2024-06-07
229,uturoa,-16.7333,-151.4333,80.6,76,80,1.44,PF,2024-06-07
230,belmonte,-15.8631,-38.8828,73.4,85,4,2.17,BR,2024-06-07
231,galliano,29.4422,-90.2992,75.2,94,0,0.0,US,2024-06-07
232,gole,52.1665,20.4937,57.2,92,100,1.74,PL,2024-06-07
233,tazovsky,67.4667,78.7,32.0,90,100,6.47,RU,2024-06-07
234,tual,-5.6667,132.75,78.8,84,48,9.79,ID,2024-06-07
235,constantia,44.1833,28.65,59.0,81,0,1.2,RO,2024-06-07
236,mersa matruh,31.3525,27.2453,73.4,68,0,0.0,EG,2024-06-07
237,luorong,24.4058,109.6086,78.8,76,98,2.1,CN,2024-06-07
238,kruisfontein,-34.0033,24.7314,57.2,84,92,9.65,ZA,2024-06-07
239,ostersund,63.1792,14.6357,42.8,81,19,3.6,SE,2024-06-07
240,enshi,30.3,109.4833,78.8,64,100,1.12,CN,2024-06-07
241,villagarzon,1.0375,-76.6267,75.2,97,95,1.86,CO,2024-06-07
242,ola,59.5833,151.2833,66.2,79,100,4.4,RU,2024-06-07
243,tame,6.461,-71.73,73.4,97,94,1.2,CO,2024-06-07
244,mae ramat,16.984,98.5166,80.6,98,100,0.64,TH,2024-06-07
245,taghazout,30.5426,-9.7112,66.2,90,100,0.61,MA,2024-06-07
246,castro,-24.7911,-50.0119,55.4,80,43,0.92,BR,2024-06-07
247,mariental,-24.6333,17.9667,42.8,71,0,4.04,NA,2024-06-07
248,sayaxche,16.5167,-90.1667,77.0,83,100,2.1,GT,2024-06-07
249,puerto deseado,-47.7503,-65.8938,44.6,92,100,5.14,AR,2024-06-07
250,zheshart,62.0731,49.5733,59.0,63,0,2.31,RU,2024-06-07
251,port elizabeth,-33.918,25.5701,57.2,85,20,14.92,ZA,2024-06-07
252,luganville,-15.5333,167.1667,80.6,69,61,5.25,VU,2024-06-07
253,kenai,60.5544,-151.2583,51.8,86,75,4.63,US,2024-06-07
